ASIN,Brand Name,GV(Q4 2025 ),Net Ordered Units(Q4 2025 ),Net Receipts (Units)(Q4 2025 ),Total Inventory Units(Q4 2025 ),Net Receipts($)(Q4 2025 ),Product GMS($)(Q4 2025 ),Gross Shipped GMS($)(Q4 2025 ),Net Ordered GMS($)(Q4 2025 ),Deal GMS($)(Q4 2025 ),Net PPM(Q4 2025 )(%),Amzn GV(Q4 2025 ),SoROOS(%)(Q4 2025 )(%),Daily SoRoos%(Q4 2025 )(%),Fill Rate - Sourceable(Q4 2025 )(%),Vendor Confirmation Rate - Sourceable(Q4 2025 )(%),Conversion Rate(Q4 2025 )(%),ASP(Q4 2025 ),CM(Q4 2025 )(%),CP($)(Q4 2025 ),CPPU(Q4 2025 ),PPM(Q4 2025 )(%),CCOGS As A % Of PCOGS(Q4 2025 )(%),CCOGS As A % Of Revenue(Q4 2025 )(%),External Box Price Competitiveness (% Of GV)(Q4 2025 )(%),IDQ Score(Q4 2025 )
B0B82WSFTV,Mr Makhana,570,1402,1930.00,1473.00,2075.52,1422.19,1379.32,1375.99,363.85,73.41%,560,0.00%,0.00%,100.00%,100.00%,245.96%,1.01,(17.92)%,-251.97,-0.18,(6.39)%,79.08%,84.13%,61.55%,78.20
B087GLG43J,Stone Chocolate,1481,218,151.00,7.00,1105.04,1409.81,1409.46,1448.92,567.54,30.96%,1380,7.37%,7.37%,46.10%,100.00%,14.72%,6.62,(1.85)%,-25.48,-0.12,(10.57)%,38.67%,42.76%,0.00%,80.90
B07DLNH6L2,Barebells,867,43,335.00,124.00,11342.22,1399.40,1215.22,1287.98,0,21.67%,635,80.60%,80.60%,45.45%,100.00%,4.96%,34.99,13.17%,164.15,4.10,3.22%,31.43%,30.41%,66.21%,98.50
B004ZK343G,ROCA,735,288,240.00,99.00,1306.81,1380.92,1372.09,1375.48,648.89,88.28%,722,3.13%,3.13%,100.00%,100.00%,39.18%,4.79,62.89%,855.65,2.97,(13.56)%,90.58%,102.87%,0.00%,70.50
B098S3TW7Q,La Molisana,888,494,457.00,353.00,1150.88,1367.79,1291.92,1292.58,0,26.45%,885,0.00%,0.00%,57.75%,97.04%,55.63%,2.77,(32.51)%,-432.28,-0.88,9.05%,24.82%,22.58%,0.00%,61.50
B01285C2BY,TILDA,1586,412,11497.00,4173.00,48516.44,1348.22,1321.26,1338.34,626.57,13.63%,1445,0.26%,0.26%,74.21%,71.24%,25.98%,3.31,(37.26)%,-516.03,-1.27,(27.39)%,33.74%,42.99%,54.74%,91.20
B08H323F75,M.C. Trader,522,199,124.00,0.00,889.90,1334.67,1339.08,1415.57,354.90,29.11%,519,28.16%,28.16%,54.12%,85.86%,38.12%,7.06,(0.23)%,-3.13,-0.02,(1.63)%,30.42%,30.92%,0.00%,92.50
B088F995XR,Freakin' Healthy,125,56,66.00,16.00,1832.81,1328.26,1269.63,1269.64,931.06,26.93%,123,0.00%,0.00%,96.61%,81.94%,44.80%,23.72,15.88%,209.86,3.75,(17.08)%,39.10%,45.77%,0.00%,98.50
B07PKQH3R5,Loyal,1837,275,288.00,73.00,1096.20,1301.86,1299.63,1307.44,423.88,33.64%,1786,0.00%,0.00%,45.81%,100.00%,14.97%,4.75,(10.69)%,-138.34,-0.50,21.31%,17.13%,13.48%,37.00%,82.50
B0BMQPP7SJ,Guylian,1013,328,2274.00,925.00,9286.55,1290.83,1201.68,1225.35,313.25,22.55%,650,24.38%,24.38%,70.39%,100.00%,32.38%,3.94,(2.84)%,-34.91,-0.11,(3.77)%,32.22%,33.44%,78.32%,78.00
B087GKD2PV,Freakin' Healthy,352,95,71.00,1.00,1067.01,1277.43,1252.50,1252.51,352.46,33.11%,300,13.01%,13.01%,100.00%,38.96%,26.99%,13.45,17.78%,228.02,2.40,(11.76)%,41.75%,46.66%,0.00%,0
B07PBKWD24,Oronamin,419,949,1554.00,474.00,2792.34,1275.96,1272.76,1271.68,0,(21.31)%,410,10.26%,10.26%,30.98%,100.00%,226.49%,1.34,(62.64)%,-827.18,-0.87,(33.62)%,9.82%,13.12%,30.49%,0.00
B09RWVXZ66,Lago,471,403,815.00,361.00,3106.41,1272.80,1211.83,1214.20,476.23,21.80%,457,16.56%,16.56%,62.63%,100.00%,85.56%,3.13,(14.06)%,-178.19,-0.44,(21.58)%,39.84%,48.44%,76.03%,76.70
B081LFRBNG,Mr Makhana,1081,1218,1345.00,811.00,1446.41,1263.38,1229.28,1234.77,310.25,74.25%,1071,0.00%,0.00%,93.88%,100.00%,112.67%,1.04,(17.74)%,-225.36,-0.19,(3.42)%,78.98%,81.68%,53.69%,78.20
B0CD87Z6VY,Rhythm 108,281,296,491.00,94.00,2229.72,1250.04,1188.28,1180.40,588.91,25.52%,277,1.07%,1.07%,84.64%,98.04%,105.34%,4.10,(4.68)%,-57.75,-0.19,(10.80)%,37.20%,41.22%,0.00%,85.80
B00CAUABOS,Gerber,821,244,330.00,35.00,1903.78,1226.65,1224.31,1219.67,120.90,21.31%,787,4.75%,4.75%,97.06%,52.31%,29.72%,5.01,(4.12)%,-51.47,-0.21,(15.23)%,32.62%,37.59%,51.54%,85.80
