ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B0881N34S8,Elvan,55,17,4.00,50.00,11.17,58.40,58.09,54.08,0,30.02%,53,1.82%,1.82%,80.00%,100.00%,30.91%,3.07,(16.37)%,-9.87,-0.52,9.12%,23.58%,21.43%,0.00%,75.00
B087GL7DGL,Rico,110,12,228.00,269.00,993.18,58.35,56.41,56.44,0,31.02%,108,0.00%,0.00%,0.00%,100.00%,10.91%,4.86,(4.71)%,-2.77,-0.23,10.41%,26.72%,23.94%,32.41%,70.00
B07NF86HPC,American Garden,32,28,24.00,14.00,43.45,58.09,57.01,57.05,0,28.07%,32,0.00%,0.00%,50.00%,100.00%,87.50%,2.07,(24.29)%,-14.87,-0.53,12.73%,18.50%,16.15%,37.50%,73.00
B07FYM8FB2,Dilmah,91,24,36.00,22.00,91.84,58.01,57.27,57.47,29.04,22.92%,91,0.00%,0.00%,0.00%,0.00%,26.37%,2.42,(36.34)%,-21.05,-0.88,(5.55)%,28.58%,30.17%,0.00%,76.00
B087GJJZST,Freakin' Healthy,57,13,30.00,0.00,113.12,57.49,55.28,42.15,0,13.85%,55,57.89%,57.89%,100.00%,37.50%,22.81%,3.38,(14.42)%,-8.32,-0.49,(11.50)%,26.18%,29.20%,88.37%,83.00
B084PTX8XP,American Garden,181,10,126.00,58.00,705.63,57.31,53.05,53.08,0,12.92%,139,7.18%,7.18%,89.33%,100.00%,5.52%,5.73,(23.54)%,-13.13,-1.31,2.28%,18.50%,18.08%,100.00%,94.50
B07NF7G74H,Al Arabi,27,11,6.00,24.00,26.97,56.78,56.07,51.39,0,14.23%,27,0.00%,0.00%,0.00%,0.00%,40.74%,4.73,(23.04)%,-13.15,-1.10,5.01%,11.02%,10.47%,29.63%,84.20
B07P68FLFY,American Garden,239,9,66.00,50.00,404.30,56.00,56.00,51.24,0,13.03%,232,0.00%,0.00%,87.04%,100.00%,3.77%,5.60,(15.87)%,-9.11,-0.91,(9.39)%,20.50%,22.43%,24.44%,93.00
B07WH3H252,Lago,72,9,24.00,76.00,68.61,55.91,53.77,28.93,0,31.96%,71,54.17%,54.17%,0.00%,100.00%,12.50%,3.29,(19.66)%,-11.52,-0.68,13.08%,26.12%,22.70%,0.00%,80.80
B019Z95UCO,General Mills,68,10,30.00,29.00,232.53,55.91,57.21,71.18,0,28.20%,18,52.46%,52.46%,0.00%,0.00%,14.71%,6.99,(6.73)%,-4.01,-0.50,(10.91)%,35.26%,39.11%,100.00%,0
