ASIN,Brand Name,GV(Dec 2025 ),Net Ordered Units(Dec 2025 ),Net Receipts (Units)(Dec 2025 ),Total Inventory Units(Dec 2025 ),Net Receipts($)(Dec 2025 ),Product GMS($)(Dec 2025 ),Gross Shipped GMS($)(Dec 2025 ),Net Ordered GMS($)(Dec 2025 ),Deal GMS($)(Dec 2025 ),Net PPM(Dec 2025 )(%),Amzn GV(Dec 2025 ),SoROOS(%)(Dec 2025 )(%),Daily SoRoos%(Dec 2025 )(%),Fill Rate - Sourceable(Dec 2025 )(%),Vendor Confirmation Rate - Sourceable(Dec 2025 )(%),Conversion Rate(Dec 2025 )(%),ASP(Dec 2025 ),CM(Dec 2025 )(%),CP($)(Dec 2025 ),CPPU(Dec 2025 ),PPM(Dec 2025 )(%),CCOGS As A % Of PCOGS(Dec 2025 )(%),CCOGS As A % Of Revenue(Dec 2025 )(%),External Box Price Competitiveness (% Of GV)(Dec 2025 )(%),IDQ Score(Dec 2025 )
B07P9G9QRZ,American Garden,54,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07QVMX9TN,Torku,25,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07G89RDL4,Ulker,72,3,0.00,114.00,0.00,0,0.00,3.54,0,0.00%,70,93.06%,93.06%,0.00%,0.00%,4.17%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,61.70
B0BMXV1H6S,DEEMAH,166,1,0.00,2.00,0.00,0,0.00,3.88,0,0.00%,93,72.31%,72.31%,0.85%,100.00%,0.60%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,97.00
B083JTTBVK,Joico,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07213ZDJL,Sanitarium Sogood,11,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08235D9VG,Ulker,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B006JLBE9K,Walkers,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B094N7KVNJ,Suncola,3,0,0.00,3.00,0.00,0,0,0,0,0.00%,3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,78.00
B0966S2ZDM,UNKNOWN,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00J7ODICM,General Mills,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B06XNTWVXF,Perkier,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,71.00
B08236QHMD,Ulker,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07NF6X5CR,India Gate,210,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0948B34MT,Sheild Strong,0,0,0.00,2.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,64.10
B0B9MVC458,UNKNOWN,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07YHXL1LM,Cala,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,76.00
B07BCD24GB,Candyland,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B01MRLBVUF,Inglot,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,80.70
B087GKF4J8,Dolphin Fish,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0051C0GK6,Chewits,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,80.70
B0036E8CK2,UNKNOWN,26,0,30.00,21.00,93.93,0,0,0,0,0.00%,0,0.00%,0.00%,23.08%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B087GMZG2N,Guylian,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMJZS6,Toren,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMN5CC,Nabil,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B003TL5Z6Q,GM Betty Crocker,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,72.50
B000NVVDWA,Joico,17,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083F1Z2NF,Joico,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GL9JCV,Erko,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09P38CNCD,Florbu,18,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B085V581Y4,Lady Liberty,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,59.20
B07NQTBG2Y,Luke's,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,70.80
B085V4XPKY,POPCORNERS,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,81.70
B003LAC1LW,Lutti,8,0,1.00,1.00,38.42,0,0,0,0,0.00%,8,12.50%,12.50%,100.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,85.80
B087GJY5XD,Super,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMD5HW,Nabil,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083VKKWRR,Diamond,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,82.50
B087GLRBK4,Nabil,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MFXZP,Cihan,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GLYW4J,Toren,33,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B000F6NUQ0,Cala,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,65.90
B08C18B3FH,Afia,25,0,4.00,30.00,39.57,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MJYLH,Hectare's,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,81.50
B087GKVNXH,Cloetta,9,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B084TPW7C2,Rhythm 108,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07Q4Q591H,Barebells,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,77.00
B08GQDCZFG,Dancing Leaf,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,73.50
B07WWFGSC2,Cala,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,75.80
B0943X7L1V,UNKNOWN,14,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09FX76VQN,UNKNOWN,32,-5,0.00,2.00,0.00,0,0.00,-12.94,0,0.00%,12,40.63%,40.63%,0.00%,100.00%,(15.63)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B07XQM55HZ,Joico,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CN7KCYHK,General Mills,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00HQTSJQK,Cagla,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,77.50
B087GJFQ8L,Nom Noms,37,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083VK72NG,American Garden,45,1,59.00,37.00,181.83,0,0.00,3.22,0,0.00%,34,44.44%,44.44%,98.41%,100.00%,2.22%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,86.67%,98.30
B0FDPNPYHK,Little Freddie,3,0,24.00,4.00,163.35,0,0,0,0,0.00%,3,0.00%,0.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00
B00X3DAZWE,Gerber,12,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMFQ16,Saadet,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08FTZGS3X,UNKNOWN,21,0,30.00,2.00,336.01,0,0,0,0,0.00%,21,95.24%,95.24%,6.34%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,78.50
B00LECA0A8,Jacquet,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C6635B2K,TATA,20,1,0.00,0.00,0.00,0,0.00,1.85,0,0.00%,0,100.00%,100.00%,0.00%,100.00%,5.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,86.90
B087GLRBHK,Toren,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07NF7L1T8,UNKNOWN,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B01L774G1I,Hectare's,9,0,5.00,71.00,6.81,0,0,0,0,0.00%,9,88.89%,88.89%,63.16%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,80.80
B0BCR2NG9V,Good Good,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKQXZ8,Ani,11,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07QCFG13J,General Mills,18,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C9D76G2R,Little Freddie,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,4,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,74.10
B087GMRBR8,Arcor,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0FGD5JPHR,Candyland,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B086X2HD1Q,Ulker,42,1,0.00,167.00,0.00,0,0.00,5.58,0,0.00%,41,78.57%,78.57%,0.00%,0.00%,2.38%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,92.00%,72.50
B0DSTYPDT2,Cala,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00
B07J6HV1NM,Alara,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,68.00
B07MVP6ZR3,Nido,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKYZB5,Carne Diem,11,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B005LVIAIC,Guylian,24,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B005JESUUO,PINA,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0B5V6HK6V,Cloetta,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B01ITV403Y,Eti,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00XW5I728,India Gate,133,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GK9B4D,Fiorella,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00D2PKZ4Q,Gerber,11,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00060NNTE,AriZona,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,78.50
B078M9C1GP,Ericson Laboratoire,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,77.50
B076ZZ2YT3,KLF COCONAD,193,-5,0.00,0.00,0.00,0,0.00,-61.50,0,0.00%,79,35.75%,35.75%,0.00%,100.00%,(2.59)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B0095TL3QC,Alattar,23,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07WPBFBCT,UNKNOWN,8,0,0.00,3.00,0.00,0,0,0,0,0.00%,8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,72.50
B08FTXSF8X,UNKNOWN,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,81.00
B085D11SWZ,Acorsa,11,0,0.00,0.00,0.00,0,0,0,0,0.00%,3,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,62.50
B07PN2Q5H7,Al Rifai,3,0,0.00,37.00,0.00,0,0,0,0,0.00%,3,66.67%,66.67%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,66.67%,74.20
B07NF8RLW5,Al Rifai,17,0,146.00,97.00,208.28,0,0,0,0,0.00%,0,5.88%,5.88%,100.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,66.67%,70.90
B00PA74O5U,Warheads,42,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,40,78.57%,78.57%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,78.30
B01N6Q6XSX,Gerber,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083B1XVBM,Solen,26,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJPT4H,Danpak,0,0,0.00,3.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0861YDRTL,Ulker,20,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKF126,Cagla,4,0,0.00,1.00,0.00,0,0,0,0,0.00%,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,73.50
B087GLW2DP,Elvan,10,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0BN1Y3WLS,Perkier,0,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,76.50
B0881N8T44,Elvan,31,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B085D1266K,Beautiful Denmark,34,0,2.00,2.00,20.96,0,0,0,0,0.00%,28,82.35%,82.35%,100.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,62.50
B07MQ16Q5L,Lotte,77,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,0,9.52%,9.52%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08QH39351,Barebells,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B071RBR3C5,UNKNOWN,12,-1,0.00,0.00,0.00,0,0.00,-6.87,0,0.00%,4,100.00%,100.00%,0.00%,0.00%,(8.33)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,82.50
B0949J1YGX,Bazooka,18,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,11.11%,11.11%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00E8HYDKO,Cala,12,0,0.00,1.00,0.00,0,0,0,0,0.00%,12,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,86.00
B006SWIBU0,Kelloggs,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0842J4474,UNKNOWN,17,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00DSKFG2Q,Lago,0,0,0.00,62.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,76.70
B07HFPMYQF,Bart,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,81.90
B0014D21C2,UNKNOWN,10,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GKZR5Z,Diamond,2,0,0.00,4.00,0.00,0,0,0,0,0.00%,2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,50.00%,82.50
B007M88LJA,Lago,0,-1,0.00,0.00,0.00,0,0.00,-3.36,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,85.80
B08P6H3QZL,Guylian,284,0,0.00,93.00,0.00,0,0.00,0.00,0,0.00%,125,19.72%,19.72%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B083B1KZYS,Amada,23,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00OCC6X94,Hellema,9,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CV7GFH3Y,Zeeba,5,0,0.00,4.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MNVBG,ZPC,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00S6MGLPW,Angel Schlesser,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJKXWM,Ani,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MJGHY,Signature,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMDHZ1,Cici,9,0,0.00,1.00,0.00,0,0,0,0,0.00%,9,88.89%,88.89%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,68.50
B06XTNLV8Q,Luke's,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,70.80
