ASIN,Customer review count,Raw star ratings,GL Product Group,Product subcategory code,Product subcategory desc,Ads Clicks,GL Description,GMS ($)
B07531B6QM, 713, 4,325,32500710,Ready Meals,,Grocery, 199.83
B009B1L17K, 34, 4,325,32501090,Sugar,,Grocery, 287.7
B0B4P6HYVX, 9, 4,325,32592005,Tea,,Grocery, 305.57
B0BZVMBMJZ, 21, 4,325,32504020,Cooking Sauces,,Grocery, 326.69
B083VKRTPS, 52, 4,325,32592005,Tea,,Grocery," 1,264.1"
B07576775Y, 6, 5,325,32598015,Noodles,,Grocery, 7.81
B083VL3P6Z, 1, 3,325,32502070,Spreads,,Grocery, 6.53
B01JRUYKOK," 1,107", 4,325,32501095,Assorted Baking Supplies,,Grocery, 56.71
B083VK9J3B, 8, 4,325,32599015,Nuts,,Grocery, 447.19
B00BGV94SG, 10, 4,325,32504015,Noodles,,Grocery, 106.85
B01C4L6IIK, 131, 4,325,32599045,Biscuits,,Grocery," 1,742.62"
B083VK8HZK, 9, 4,194,UNKNOWN,UNKNOWN,,Beauty, 43.51
B00GB8Y30S, 702, 4,325,32504020,Cooking Sauces,,Grocery, 660.74
B07MTXFYB3, 49, 4,325,32599015,Nuts,,Grocery," 2,138.07"
B083VKVVJZ,,,325,32599020,Seeds & Dried Fruit,,Grocery, 39.78
B0D2P64GWB, 1, 5,325,32502579,Cereals,,Grocery, 231.94
B005LLZ3QY, 565, 5,325,32592005,Tea,,Grocery," 5,435.24"
B0792L8SY6, 55, 4,325,32599030,Chocolate,,Grocery," 1,638.89"
B00XW5AV18, 32, 4,325,32502050,Cooking Ingredient,,Grocery, 276.42
B075733JWC, 421, 4,325,UNKNOWN,UNKNOWN,,Grocery, 60.63
B0752S3199, 559, 4,325,32500710,Ready Meals,,Grocery, 41.05
B0756YP6QK, 19, 4,325,32502050,Cooking Ingredient,,Grocery, 124.7
B0FLJH5G4D, 1, 1,325,32501080,"Syrups, Sweeteners, Extracts & Vanilla",,Grocery, 42.57
B08CHVBX48, 829, 4,325,32502020,"Herbs, Spices, Sea",,Grocery, 66.56
B0847W462N, 87, 4,325,32502050,Cooking Ingredient,,Grocery, 67.46
B07NF8RTS4, 4, 4,325,32599015,Nuts,,Grocery, 38.82
B083VK2HW1,,,325,32592020,Milk & Soya Milk,,Grocery, 54.1
B07NF78ZBY, 27, 4,325,32592005,Tea,,Grocery, 495.73
