ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B01LCX3NVQ,Hectare's,21,1,95.00,1.00,170.44,2.07,2.46,2.47,0,32.89%,21,33.33%,33.33%,77.78%,100.00%,4.76%,2.07,(99.82)%,-3.06,-3.06,13.40%,22.50%,19.48%,50.00%,79.20
B01LCX3MEY,Hectare's,22,2,17.00,0.00,30.50,2.05,2.05,4.09,0,32.52%,21,68.18%,68.18%,23.26%,100.00%,9.09%,2.05,(37.76)%,-0.83,-0.83,12.37%,23.00%,20.16%,100.00%,79.20
B0948MM2QF,Sheild Strong,31,1,1.00,0.00,1.63,2.04,2.04,2.05,0,37.43%,30,8.33%,8.33%,0.00%,100.00%,3.23%,2.04,(54.45)%,-1.11,-1.11,19.79%,22.00%,17.65%,0.00%,68.40
B01L774IH0,Hectare's,41,1,3.00,2.00,4.08,1.55,1.55,1.55,0,32.57%,34,73.17%,73.17%,100.00%,100.00%,2.44%,1.55,12.48%,0.20,0.20,12.43%,23.00%,20.14%,100.00%,80.80
B0CB7TZ5XK,Bisconni,124,1,1.00,0.00,0.82,1.45,1.45,1.45,0,56.74%,91,1.28%,1.28%,0.00%,100.00%,0.81%,1.45,(103.53)%,-1.99,-1.99,43.82%,23.00%,12.92%,0.00%,0
B07WQ1XYGR,Cala,4,1,2.00,1.00,2.29,1.35,1.35,1.35,0,79.64%,2,100.00%,100.00%,0.00%,0.00%,25.00%,1.35,(120.90)%,-2.09,-2.09,15.15%,76.00%,64.48%,0.00%,80.40
B0095DQF2A,Foster Clarks,421,2,102.00,17.00,72.20,1.30,1.30,1.30,0,(9.24)%,13,0.00%,0.00%,0.00%,0.00%,0.48%,0.65,(301.45)%,-3.89,-1.95,(9.24)%,0.00%,0.00%,12.50%,0
B0FGD7HH7N,Candyland,12,2,5.00,4.00,4.53,1.03,1.03,5.01,0,78.97%,12,83.33%,83.33%,100.00%,100.00%,16.67%,1.03,(22.29)%,-0.25,-0.25,12.37%,76.00%,66.60%,0.00%,78.70
B0CB7VVFS7,Bisconni,45,0,1.00,0.00,0.68,0.78,0.78,0.78,0,33.16%,15,100.00%,100.00%,12.50%,100.00%,0.00%,0.78,(190.92)%,-2.28,-2.28,13.19%,23.00%,19.97%,0.00%,0
B00FNQPLNC,Ulker,209,1,183.00,88.00,186.83,0.77,0.77,0.76,0.76,30.60%,71,25.84%,25.84%,64.41%,100.00%,0.48%,0.77,(396.23)%,-3.03,-3.03,(33.45)%,48.00%,64.06%,64.15%,66.70
B07G89RDL4,Ulker,195,4,279.00,114.00,284.84,0.77,0.77,4.30,0.76,30.60%,117,56.92%,56.92%,97.89%,100.00%,2.05%,0.77,(7.93)%,-0.06,-0.06,(33.45)%,48.00%,64.06%,88.57%,61.70
B0757317DM,Ching's Secret,41,4,2.00,0.00,0.66,0.68,0.62,1.32,0,9.07%,40,75.00%,75.00%,4.76%,80.77%,9.76%,0.34,(477.22)%,-5.53,-2.76,3.20%,14.74%,14.27%,0.00%,80.50
B004Z0BU6E,UNKNOWN,8,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B01N2NKRK8,Bart,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,72.50
B087GMDHVM,Palazi,10,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MD3DC,Colombina,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMHY3F,Mimi,35,-1,0.00,0.00,0.00,0,0.00,-4.46,0,0.00%,3,100.00%,100.00%,0.00%,0.00%,(2.86)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM8VBW,Toren,121,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083JT5T7Q,Joico,371,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0043E9MR6,General Mills,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM7QGS,Balaban Toto,31,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08B1ZY6VP,Coroli,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,11,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,70.00
B00HQTSJQK,Cagla,12,0,0.00,0.00,0.00,0,0,0,0,0.00%,7,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,77.50
B09FX76VQN,UNKNOWN,860,27,62.00,2.00,224.82,0,0.00,65.65,0,0.00%,456,39.97%,39.97%,0.00%,95.00%,3.14%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,77.87%,0
B07M6HMS9S,UNKNOWN,15,1,72.00,0.00,14.70,0,0.00,0.29,0,0.00%,13,85.71%,85.71%,0.00%,84.21%,6.67%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,57.50
B0CGZ6TPRH,Cala,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,75.00
B087GKYZ8T,Shaarawi Bros,21,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0847NP1SZ,Amada,19,-3,0.00,0.00,0.00,0,0.00,-11.97,0,0.00%,11,100.00%,100.00%,0.00%,100.00%,(15.79)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0078DRP8M,POPCORNERS,8,4,0.00,0.00,0.00,0,0.00,15.13,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,50.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881M966R,Cici,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07PP13X43,KLF NIRMAL,49,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08C1CYV4B,AFIA,1448,0,606.00,216.00,3786.41,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,34.78%,0
B01485S53Q,The Jelly Bean Factory,32,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C96RVCRV,Nabil,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMN5JG,Hi-Po,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0199RFQJY,UNKNOWN,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0855QJG82,Procare,0,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,70.00
B086WBMSDZ,General Mills,11,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM8VHP,Elvan,28,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GR8LF7,Bazooka,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0DSTY5YRQ,Cala,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0.00
B01JSDLGKC,UNKNOWN,274,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00ZE3XZR8,Joico,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B06XT5DJ3D,Diablo,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,3,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,71.70
B000WFGEZ8,Lutti,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0947F1WQW,Florbu,18,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00060NNTE,AriZona,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,2,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,78.50
B07L4S6WSR,Betty Crocker Fruit Snacks,26,0,0.00,0.00,0.00,0,0,0,0,0.00%,12,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0BZWD5XP9,Mc Trader,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MKMRG,Elvan,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GN5BJ1,Ani,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GL499C,Nom Noms,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJ963G,Masquerade,181,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07GDK6ZBB,Alara,5,1,0.00,0.00,0.00,0,0.00,6.61,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,20.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,68.00
B0095TL3QC,Alattar,345,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08KL3HPLK,Solen,124,0,0.00,0.00,0.00,0,0,0,0,0.00%,58,55.29%,55.29%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881M228Q,Elvan,19,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMTLZL,Palazi,19,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0155ZVYQS,Biscotto,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07NF8ZD2T,Ulker,30,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CSYWLJ8S,UNKNOWN,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MCM5Z,Pusan,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMJZVL,Americandy,16,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08MMR87NB,dandies,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MF54K,Colombina,31,-1,0.00,0.00,0.00,0,0.00,-4.28,0,0.00%,31,100.00%,100.00%,0.00%,70.00%,(3.23)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,76.90
B00JWX8EGI,POPCORNERS,20,0,0.00,0.00,0.00,0,0,0,0,0.00%,14,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MF428,Morris,27,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B006SWIBU0,Kelloggs,84,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,21,70.59%,70.59%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B00WUM1VLI,Bart,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0CGY71Q3M,UNKNOWN,4,0,1.00,1.00,5.54,0,0,0,0,0.00%,4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,59.50
B0BN5GWSTN,UNKNOWN,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08FJQWLP8,Toddlekind,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08LNQWZ6C,Olite,151,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00SCAL6V2,Foster Clarks,977,0,30.00,4.00,86.74,0,0,0,0,0.00%,10,45.00%,45.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,100.00%,0
B0881MB9PH,Biskitop,7,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00MZF0SWS,Betty Crocker,62,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B081V9G645,Guylian,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MF1WF,Aras,14,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00D2PL2CA,Gerber,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0757ZLMLZ,Gucci,12495,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B083W4TTYR,General Mills,5,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GL4979,Ani,23,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08M193SHK,Nur Jahan,192,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09MPDQ8BZ,Good4U,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087C6VWJZ,Little Freddie,113,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,38,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09JL4XSPH,Glebe Farm,73,-2,0.00,0.00,0.00,0,0.00,-48.42,0,0.00%,62,100.00%,100.00%,0.00%,61.54%,(2.74)%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C9D8GGKL,Little Freddie,106,0,0.00,0.00,0.00,0,0.00,0.00,0,0.00%,15,100.00%,100.00%,0.00%,100.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00PXZIJZK,Ericson Laboratoire,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08HLSSG32,Duck & Dry,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,3,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,82.50
B0881MLL6Y,Golden Eagle,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMJZSB,Toren,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GJ682C,Freakin' Healthy,33,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B007EC5ITA,Nestlé,25,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMS6G5,Americandy,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B000VDUK7Y,Chex,74,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07CBBJ4D4,Natures Heart,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,70.40
B0C15LV4PS,Lady Liberty,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08WC9KG7L,Solen,13,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MQFD8,Cagla,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881N8T3V,Monesco,55,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07CHVSBM3,UNKNOWN,99,1,0.00,0.00,0.00,0,0.00,4.67,0,0.00%,83,100.00%,100.00%,0.00%,85.71%,1.01%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B007O0J8RU,Shea Moisture,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07JM4MJLR,Ericson Laboratoire,22,0,1.00,1.00,43.56,0,0,0,0,0.00%,3,33.33%,33.33%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,82.50
B0831CG6D5,General Mills,56,0,0.00,0.00,0.00,0,0,0,0,0.00%,1,100.00%,100.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881MBQX3,Cici,21,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07PGVRHKD,UNKNOWN,4,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07TDCKNJW,UNKNOWN,566,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0C15K7XJR,Lady Liberty,1,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00859REKW,Dreambaby,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B012H6NTQ6,UNKNOWN,3,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0BCR2NG9V,Good Good,721,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B086X3769R,Ulker,15,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GM4WRB,UNKNOWN,2,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B085V4XPKY,POPCORNERS,0,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,81.70
B0881MNVBF,Occa,1,0,0.00,1.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B09TQ1QMCK,[DO NOT EDIT THIS CODE!!] 仮コード JP HL (変更処理はしないでください！。変更する場合はHL ROIに連絡ください),22,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B00M84TM0A,Arcor,79,0,0.00,4.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08KSSYZNS,Schogetten,50,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B087GMRBN4,Fiorella,17,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B07BBRSLVG,Delicia,15,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B0881M2295,Aras,11,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
B08LDHDFTM,Lady Liberty,6,0,0.00,0.00,0.00,0,0,0,0,0.00%,0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00,0.00%,0,0.00,0.00%,0.00%,0.00%,0.00%,0
