ASIN,Brand Name,GV(T12M ),Net Ordered Units(T12M ),Net Receipts (Units)(T12M ),Total Inventory Units(T12M ),Net Receipts($)(T12M ),Product GMS($)(T12M ),Gross Shipped GMS($)(T12M ),Net Ordered GMS($)(T12M ),Deal GMS($)(T12M ),Net PPM(T12M )(%),Amzn GV(T12M ),SoROOS(%)(T12M )(%),Daily SoRoos%(T12M )(%),Fill Rate - Sourceable(T12M )(%),Vendor Confirmation Rate - Sourceable(T12M )(%),Conversion Rate(T12M )(%),ASP(T12M ),CM(T12M )(%),CP($)(T12M ),CPPU(T12M ),PPM(T12M )(%),CCOGS As A % Of PCOGS(T12M )(%),CCOGS As A % Of Revenue(T12M )(%),External Box Price Competitiveness (% Of GV)(T12M )(%),IDQ Score(T12M )
B07PKDH8PT,WONDERFUL,1667,769,774.00,39.00,10241.18,9072.63,8923.39,8910.35,486.87,14.68%,1619,8.84%,8.84%,66.35%,100.00%,46.13%,11.78,(5.75)%,-519.28,-0.67,(12.30)%,25.18%,28.28%,100.00%,79.20
B00GKX89QI,Whittaker,4800,1676,2340.00,2.00,13792.61,8496.88,7853.62,8033.31,3166.81,18.69%,4516,12.78%,12.78%,45.04%,63.47%,34.92%,5.16,(31.54)%,-2478.37,-1.50,(14.32)%,35.23%,40.27%,61.92%,93.50
B087GM93C9,Americandy,9675,2177,2613.00,300.00,10357.94,8123.17,7924.34,7950.76,2675.78,27.05%,9333,1.74%,1.74%,88.11%,100.00%,22.50%,3.73,(35.64)%,-2834.54,-1.30,(6.14)%,34.96%,37.11%,0.00%,93.20
B088N7FT19,Barebells,1761,235,350.00,1.00,11850.08,8099.94,7811.81,7895.38,1653.89,30.73%,1585,22.35%,22.35%,46.51%,100.00%,13.34%,34.76,17.59%,1381.34,5.93,2.61%,32.36%,31.52%,93.50%,84.50
B07CXJZVRR,General Mills,1403,1170,1352.00,104.00,9754.28,7894.87,7755.72,7772.26,1089.70,20.91%,1305,5.05%,5.05%,100.96%,54.85%,83.39%,6.76,(6.88)%,-545.62,-0.47,(6.74)%,28.04%,29.93%,92.87%,94.50
B07G9L7NL2,TILDA,5193,1799,2317.00,320.00,9777.56,7573.82,7310.45,7326.54,16.75,15.15%,5023,1.17%,1.17%,88.56%,98.21%,34.64%,4.22,(17.94)%,-1351.92,-0.75,(0.07)%,18.74%,18.75%,39.21%,93.20
B079HN2V2D,Gerber,3649,842,916.00,56.00,6763.29,7504.84,7430.60,7422.64,59.63,39.84%,3610,3.23%,3.23%,94.10%,74.61%,23.07%,8.90,12.96%,980.41,1.16,17.06%,29.33%,24.33%,98.44%,94.50
B07G9KXXSN,TILDA,2860,292,198.00,53.00,6751.74,7379.07,7297.10,7516.54,5087.31,17.19%,2765,3.85%,3.85%,75.40%,100.00%,10.21%,25.98,1.60%,118.30,0.42,(31.24)%,37.45%,49.15%,100.00%,78.70
B087GJGZPR,Freakin Healthy,3525,2203,2699.00,0.00,10742.93,7341.38,6977.55,6980.27,3138.33,27.80%,3397,2.30%,2.30%,99.93%,38.32%,62.50%,3.33,(22.06)%,-1566.30,-0.71,(19.44)%,43.80%,52.31%,62.24%,0
B00BLK5AKI,Gerber,5635,1235,1412.00,80.00,9041.59,7291.47,7250.94,7248.33,105.66,20.54%,5330,8.47%,8.47%,100.17%,49.63%,21.92%,5.90,(31.18)%,-2321.76,-1.88,(8.55)%,28.11%,30.51%,60.01%,90.50
B01L1DRDKO,UNKNOWN,3341,2313,4659.00,860.00,13644.04,7213.14,6906.84,6899.66,206.94,16.68%,3091,14.91%,14.91%,83.01%,91.82%,69.23%,3.11,(25.98)%,-1837.11,-0.79,3.17%,18.42%,17.84%,54.42%,97.00
B09J4QDX7W,ALITEA,3632,906,840.00,0.00,6053.49,7194.47,7060.85,7026.04,0,15.63%,1652,2.54%,2.54%,100.00%,100.00%,24.94%,7.90,(9.73)%,-689.66,-0.76,8.75%,10.02%,9.14%,37.88%,0
B0014CYR98,UNKNOWN,3321,1406,1284.00,77.00,4240.32,7185.89,7034.05,7051.05,0,37.74%,3190,20.33%,20.33%,37.54%,98.05%,42.34%,5.11,0.84%,60.01,0.04,35.43%,8.25%,5.33%,61.77%,84.50
B01285C2BY,TILDA,7998,1980,14572.00,4173.00,61492.70,7106.18,6936.14,6961.00,3184.60,17.10%,7531,1.17%,1.17%,78.34%,74.96%,24.76%,3.60,(29.56)%,-2108.37,-1.07,(17.22)%,31.53%,36.96%,38.23%,91.20
B000WGE26A,Gerber,3351,1402,1461.00,58.00,8850.20,7002.45,7024.53,7022.30,535.17,10.87%,3239,1.13%,1.13%,100.00%,53.06%,41.84%,5.00,(23.38)%,-1661.68,-1.19,(21.20)%,26.87%,32.57%,56.96%,83.30
B07NF847QH,TILDA,10375,1037,4324.00,1372.00,35905.27,6925.15,6778.85,6781.29,2446.51,23.10%,9946,0.18%,0.18%,91.10%,100.00%,10.00%,6.68,(7.92)%,-546.09,-0.53,(24.34)%,39.72%,49.38%,35.48%,91.20
B08BFBXQGZ,La Molisana,2224,2546,2832.00,464.00,6862.08,6809.97,6428.48,6502.04,2115.68,35.58%,2195,0.81%,0.81%,90.21%,99.26%,114.48%,2.69,(8.21)%,-532.38,-0.21,9.98%,34.63%,31.17%,67.82%,84.50
B0B82VTXNL,Mr Makhana,1367,2844,3317.00,463.00,8082.42,6590.02,6306.25,6308.59,556.94,70.82%,1313,8.27%,8.27%,97.27%,100.00%,208.05%,2.32,19.44%,1275.92,0.45,(5.16)%,76.60%,80.55%,58.82%,78.20
B07NF7MR14,Tetley,2098,1188,1058.00,23.00,5242.40,6549.99,6490.76,6525.90,0,22.16%,2037,10.39%,10.39%,72.39%,100.00%,56.63%,5.56,(13.07)%,-862.67,-0.73,10.95%,13.92%,12.40%,66.95%,98.50
B079HJZTX7,Gerber,3866,761,681.00,0.00,5028.16,6443.65,6352.58,6353.51,389.61,32.90%,3667,15.68%,15.68%,100.00%,37.03%,19.68%,8.47,(8.22)%,-531.20,-0.70,12.80%,25.23%,22.00%,59.94%,0
