ASIN,Brand Name,List Price($)(Week 49 ),List Price($)(Week 50 ),List Price($)(Week 51 ),List Price($)(Week 52 ),Product GMS($)(Week 49 ),Product GMS($)(Week 50 ),Product GMS($)(Week 51 ),Product GMS($)(Week 52 ),ASP(Week 49 ),ASP(Week 50 ),ASP(Week 51 ),ASP(Week 52 ),CM(Week 49 )(%),CM(Week 50 )(%),CM(Week 51 )(%),CM(Week 52 )(%),CP($)(Week 49 ),CP($)(Week 50 ),CP($)(Week 51 ),CP($)(Week 52 ),Net PPM(Week 49 )(%),Net PPM(Week 50 )(%),Net PPM(Week 51 )(%),Net PPM(Week 52 )(%),GV(Week 49 ),GV(Week 50 ),GV(Week 51 ),GV(Week 52 ),SoROOS(%)(Week 49 )(%),SoROOS(%)(Week 50 )(%),SoROOS(%)(Week 51 )(%),SoROOS(%)(Week 52 )(%),Vendor Confirmation Rate - Sourceable(Week 49 )(%),Vendor Confirmation Rate - Sourceable(Week 50 )(%),Vendor Confirmation Rate - Sourceable(Week 51 )(%),Vendor Confirmation Rate - Sourceable(Week 52 )(%),Fill Rate - Sourceable(Week 49 )(%),Fill Rate - Sourceable(Week 50 )(%),Fill Rate - Sourceable(Week 51 )(%),Fill Rate - Sourceable(Week 52 )(%),SELLABLE_ON_HAND_UNITS(Week 49 ),SELLABLE_ON_HAND_UNITS(Week 50 ),SELLABLE_ON_HAND_UNITS(Week 51 ),SELLABLE_ON_HAND_UNITS(Week 52 ),Total GMM($)(Week 49 ),Total GMM($)(Week 50 ),Total GMM($)(Week 51 ),Total GMM($)(Week 52 ),Net Receipts($)(Week 49 ),Net Receipts($)(Week 50 ),Net Receipts($)(Week 51 ),Net Receipts($)(Week 52 ),Net Receipts (Units)(Week 49 ),Net Receipts (Units)(Week 50 ),Net Receipts (Units)(Week 51 ),Net Receipts (Units)(Week 52 ),CCOGS As A % Of PCOGS(Week 49 )(%),CCOGS As A % Of PCOGS(Week 50 )(%),CCOGS As A % Of PCOGS(Week 51 )(%),CCOGS As A % Of PCOGS(Week 52 )(%),PPM(Week 49 )(%),PPM(Week 50 )(%),PPM(Week 51 )(%),PPM(Week 52 )(%),External Box Price Competitiveness (% Of GV)(Week 49 )(%),External Box Price Competitiveness (% Of GV)(Week 50 )(%),External Box Price Competitiveness (% Of GV)(Week 51 )(%),External Box Price Competitiveness (% Of GV)(Week 52 )(%),Amzn GV(Week 49 ),Amzn GV(Week 50 ),Amzn GV(Week 51 ),Amzn GV(Week 52 ),Customer Returns($)(Week 49 ),Customer Returns($)(Week 50 ),Customer Returns($)(Week 51 ),Customer Returns($)(Week 52 ),Daily SoRoos%(Week 49 )(%),Daily SoRoos%(Week 50 )(%),Daily SoRoos%(Week 51 )(%),Daily SoRoos%(Week 52 )(%),IDQ Score(Week 49 ),IDQ Score(Week 50 ),IDQ Score(Week 51 ),IDQ Score(Week 52 ),Net Ordered Units(Week 49 ),Net Ordered Units(Week 50 ),Net Ordered Units(Week 51 ),Net Ordered Units(Week 52 )
B0DT61H872,TATA GLOBAL BEVeRAGES,6.18,6.18,6.18,6.18,121.08,173.11,97.37,97.37,3.78,5.41,5.41,5.41,(21.71)%,(5.64)%,(4.43)%,(1.11)%,-26.02,-10.33,-4.54,-1.06,25.09%,31.35%,31.69%,30.12%,291,219,208,211,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,113,376,369,520,0.00,0.00,0.00,0.00,158.29,1407.00,87.94,791.44,36.00,320.00,20.00,180.00,35.91%,15.53%,15.96%,15.05%,(16.20)%,18.72%,18.72%,18.72%,0.00%,0.00%,0.00%,0.00%,268,214,195,203,0,0,0,0,0.00%,0.00%,0.00%,0.00%,63.50,63.50,63.50,63.50,24,31,21,15
B00NRML2XM,Dilmah,9.39,9.39,0.00,0.00,120.31,60.16,0,0,7.52,7.52,0.00,0.00,(9.36)%,(20.42)%,0.00%,0.00%,-11.69,-11.60,0,0,19.65%,19.65%,0.00%,0.00%,26,43,10,4,0.00%,13.95%,90.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,0,0,0,0.00,0.00,0,0,190.79,0.00,0.00,0.00,24.00,0.00,0.00,0.00,24.00%,24.00%,0.00%,0.00%,(5.72)%,(5.72)%,0.00%,0.00%,38.46%,54.05%,0.00%,0.00%,26,37,0,0,0,0,0,0,0.00%,13.95%,90.00%,100.00%,87.50,86.00,0,0,16,8,0,0
B0D2P6KRB1,Tata Soulfull,0.00,0.00,0.00,0.00,120.13,65.31,96.55,119.26,2.73,2.84,2.84,2.84,(70.56)%,(70.44)%,(66.41)%,(77.33)%,-86.54,-47.73,-69.59,-97.66,(9.79)%,(23.53)%,(23.60)%,(23.66)%,260,155,154,227,5.38%,30.32%,46.10%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,80.93%,15,301,262,579,0.00,0.00,0.00,0.00,258.93,1516.02,363.34,1908.60,62.00,363.00,87.00,457.00,30.94%,16.01%,15.96%,15.92%,(52.97)%,(47.08)%,(47.08)%,(47.08)%,59.59%,71.90%,83.67%,55.14%,245,153,146,214,0,0,0,0,5.38%,30.32%,46.10%,0.00%,67.50,67.50,67.50,67.50,48,26,39,32
B07NF7MFKX,Tetley,10.54,10.54,10.54,10.54,112.26,77.78,38.89,87.50,6.60,9.72,9.72,9.72,(56.36)%,(21.97)%,(11.21)%,(7.84)%,-65.77,-15.08,-4.48,-6.83,(28.95)%,11.97%,11.93%,9.49%,17,22,16,8,41.18%,40.91%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0,129,227,225,0.00,0.00,0.00,0.00,0.00,1307.77,990.45,76.93,0.00,136.00,103.00,8.00,11.20%,11.00%,10.96%,10.92%,(45.61)%,1.09%,1.09%,1.09%,100.00%,81.82%,46.67%,62.50%,17,14,16,8,0,0,0,0,41.18%,40.91%,0.00%,0.00%,98.50,98.50,98.50,98.50,19,6,4,9
B015J4YNNG,TETLEY,0.00,0.00,0.00,0.00,110.62,227.74,364.38,234.25,6.51,6.51,6.51,6.51,(1.63)%,(1.63)%,7.35%,12.87%,-1.74,-3.91,27.42,31.45,23.47%,23.89%,23.97%,24.20%,39,52,54,45,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,42.86%,120.00%,0.00%,24.87%,217,252,211,251,0.00,0.00,0.00,0.00,46.94,475.23,164.28,580.84,8.00,81.00,28.00,99.00,16.16%,15.59%,15.68%,15.93%,9.83%,9.83%,9.83%,9.83%,100.00%,100.00%,100.00%,100.00%,39,51,53,45,0,0,0,0,0.00%,0.00%,0.00%,0.00%,98.50,98.50,98.50,98.50,16,51,41,35
B00LQO3FUQ,Tata,0.88,0.88,0.00,0.00,93.11,9.72,0,0,0.59,0.57,0.00,0.00,(225.95)%,(299.63)%,0.00%,0.00%,-234.27,-41.85,0,0,0.47%,(8.64)%,0.00%,0.00%,168,80,120,85,39.29%,66.25%,42.50%,52.94%,100.00%,0.00%,100.00%,100.00%,74.26%,0.00%,101.01%,100.24%,29,4251,3878,4606,0.00,0.00,0,0,0.00,3298.68,127.86,966.35,0.00,5134.00,199.00,1504.00,11.20%,9.71%,0.00%,0.00%,(9.03)%,(12.38)%,0.00%,0.00%,82.42%,92.73%,95.00%,77.78%,165,78,115,81,0,0,0,0,39.29%,66.25%,42.50%,52.94%,96.70,96.70,96.70,96.70,146,14,7,3
B01285C2BY,TILDA,4.85,4.85,4.85,4.85,86.80,94.27,80.47,99.30,3.21,3.93,4.24,3.82,(38.28)%,(20.03)%,(13.59)%,(30.06)%,-34.93,-19.85,-11.41,-29.42,21.40%,23.81%,22.35%,19.31%,88,57,45,65,0.00%,0.00%,0.00%,0.00%,100.00%,74.32%,50.45%,65.06%,100.00%,0.00%,101.35%,99.90%,767,2076,2037,4232,0.00,0.00,0.00,0.00,92.84,8439.84,0.00,9600.32,22.00,2000.00,0.00,2275.00,40.58%,29.15%,22.07%,28.36%,(31.27)%,(7.43)%,0.37%,(10.49)%,55.88%,53.33%,52.78%,33.33%,85,55,42,56,0,0,0,0,0.00%,0.00%,0.00%,0.00%,91.20,91.20,91.20,91.20,28,23,18,27
B07G9L7NL2,TILDA,4.85,4.85,4.85,4.85,82.76,156.82,117.61,82.76,4.36,4.36,4.36,4.36,(8.55)%,(7.39)%,(13.44)%,(5.58)%,-7.08,-11.73,-16.07,-4.63,21.82%,22.55%,21.96%,20.75%,51,55,49,38,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,32.14%,377,355,315,325,0.00,0.00,0.00,0.00,215.22,135.04,0.00,164.58,51.00,32.00,0.00,39.00,22.26%,22.27%,22.11%,22.01%,3.13%,3.13%,3.13%,3.12%,40.00%,32.50%,40.54%,52.78%,49,52,41,37,0,0,0,0,0.00%,0.00%,0.00%,0.00%,93.20,93.20,93.20,93.20,21,34,27,20
B00L28D0QU,American Garden,3.15,3.15,3.15,3.15,76.25,60.37,34.95,191.65,3.18,3.18,3.18,3.14,(14.61)%,(12.46)%,(17.98)%,(18.05)%,-10.74,-7.86,-6.48,-35.93,26.00%,28.16%,29.68%,28.11%,94,91,107,164,24.47%,17.58%,28.04%,0.00%,100.00%,100.00%,100.00%,100.00%,96.37%,100.00%,100.00%,52.04%,274,425,419,576,0.00,0.00,0.00,0.00,1032.45,665.06,289.62,941.27,385.00,248.00,108.00,351.00,18.50%,17.51%,18.50%,18.50%,15.60%,15.50%,15.60%,14.65%,53.03%,48.15%,64.00%,46.38%,91,70,91,156,0,0,0,0,24.47%,17.58%,28.04%,0.00%,91.50,91.50,91.50,91.50,9,24,7,62
B01L1DRDKO,UNKNOWN,3.47,3.47,0.00,3.47,70.26,35.04,0,61.87,2.70,2.06,0.00,2.38,(61.99)%,(99.48)%,0.00%,(97.02)%,-42.09,-40.39,0,-71.46,10.65%,(11.22)%,0.00%,4.27%,99,130,69,38,51.52%,51.54%,82.61%,26.32%,100.00%,100.00%,100.00%,100.00%,100.00%,100.22%,100.00%,55.87%,142,125,4,717,0.00,0.00,0,0.00,936.72,702.54,234.18,2442.17,336.00,252.00,84.00,876.00,18.50%,18.50%,0.00%,18.50%,(3.17)%,(35.27)%,0.00%,(17.16)%,66.67%,92.80%,93.02%,70.97%,97,125,48,23,0,0,0,0,51.52%,51.54%,82.61%,26.32%,97.00,97.00,97.00,97.00,12,27,9,7
B00MWVY52O,TILDA,9.15,9.15,9.15,9.15,68.58,49.90,69.87,85.03,9.80,9.98,9.98,10.63,18.48%,17.22%,22.71%,19.43%,12.92,8.37,16.09,17.09,36.85%,33.49%,37.94%,39.55%,26,18,20,18,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,77,67,71,59,0.00,0.00,0.00,0.00,0.00,0.00,103.45,0.00,0.00,0.00,13.00,0.00,22.26%,22.27%,22.17%,19.26%,18.77%,20.27%,20.27%,25.13%,66.67%,27.78%,31.58%,16.67%,24,18,20,18,0,0,0,0,0.00%,0.00%,0.00%,0.00%,85.70,85.70,85.70,85.70,7,5,7,8
B07P68FGXQ,American Garden,1.27,1.27,1.27,1.27,68.28,41.95,30.30,42.57,1.24,1.17,1.17,1.15,(42.06)%,(53.45)%,(48.97)%,(36.92)%,-29.63,-24.44,-16.72,-16.65,21.70%,19.86%,20.46%,16.55%,26,19,43,23,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,160,124,144,156,0.00,0.00,0.00,0.00,0.00,0.00,53.19,53.19,0.00,0.00,48.00,48.00,16.15%,18.50%,18.50%,18.50%,10.75%,4.91%,4.91%,3.69%,21.05%,30.77%,56.25%,52.63%,25,16,40,22,0,0,0,0,0.00%,0.00%,0.00%,0.00%,94.40,94.40,96.20,96.20,53,36,30,42
B00Y09JC24,Ching's,2.06,2.06,0.00,0.00,66.39,22.56,0,0,1.90,1.88,0.00,0.00,(58.25)%,(32.64)%,0.00%,0.00%,-40.29,-6.79,0,0,16.95%,7.41%,0.00%,0.00%,117,110,68,95,14.53%,50.91%,69.12%,49.47%,100.00%,0.00%,0.00%,100.00%,71.99%,0.00%,0.00%,100.00%,153,396,315,326,0.00,0.00,0,0,295.39,545.33,0.00,188.77,169.00,312.00,0.00,108.00,16.20%,14.66%,0.00%,0.00%,7.85%,7.02%,0.00%,0.00%,8.00%,0.00%,10.00%,4.41%,109,85,57,79,0,0,0,0,14.53%,50.91%,69.12%,49.47%,86.70,86.70,86.70,86.70,53,0,0,2
B07FD6XPLF,Wella Koleston,5.64,5.64,5.64,5.64,65.86,48.04,73.48,72.48,3.14,2.83,2.83,2.68,(51.81)%,(67.45)%,(46.42)%,(67.14)%,-31.36,-34.11,-36.64,-50.27,8.97%,(7.72)%,(8.71)%,(18.99)%,120,91,95,93,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,126,146,121,78,0.00,0.00,0.00,0.00,404.72,218.34,37.28,0.00,76.00,41.00,7.00,0.00,46.35%,42.83%,42.31%,40.83%,(69.80)%,(88.44)%,(88.44)%,(98.38)%,54.31%,49.44%,52.75%,56.04%,119,90,91,92,0,0,0,0,0.00%,0.00%,0.00%,0.00%,100.00,100.00,100.00,100.00,23,15,31,22
B07P68FH59,American Garden,2.75,2.75,2.75,2.75,63.85,61.94,52.03,64.42,2.20,2.48,2.48,2.48,(46.48)%,(45.15)%,(44.81)%,(38.53)%,-31.93,-29.29,-25.92,-26.83,18.52%,18.65%,20.02%,20.27%,140,170,142,75,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,20.00%,60,47,98,84,0.00,0.00,0.00,0.00,57.43,28.72,172.30,28.72,24.00,12.00,72.00,12.00,27.56%,18.50%,18.50%,18.50%,(8.69)%,3.41%,3.41%,3.41%,20.16%,15.48%,18.70%,31.88%,135,166,142,74,0,0,0,0,0.00%,0.00%,0.00%,0.00%,93.70,93.70,93.70,93.70,24,26,21,28
B07P76G5DQ,American Classic,2.82,2.82,2.82,2.82,63.45,74.02,71.38,116.32,2.64,2.64,2.64,2.64,(24.63)%,(28.24)%,(34.54)%,(16.72)%,-16.78,-21.72,-24.55,-20.08,22.25%,22.83%,23.86%,21.88%,154,154,146,139,0.00%,0.00%,0.00%,0.72%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,115,87,60,14,0.00,0.00,0.00,0.00,29.40,0.00,0.00,0.00,12.00,0.00,0.00,0.00,18.50%,18.50%,18.50%,18.50%,7.31%,7.31%,7.31%,7.31%,25.49%,21.43%,29.45%,24.64%,153,154,146,138,0,0,0,0,0.00%,0.00%,0.00%,0.72%,90.00,90.00,90.00,90.00,24,29,28,42
B083VKDQ3P,TATA,8.13,8.13,8.13,8.13,61.56,97.19,90.68,80.96,3.24,3.24,3.24,3.24,(31.74)%,(23.08)%,(20.29)%,(29.43)%,-20.60,-23.52,-19.28,-24.44,22.26%,21.73%,21.11%,20.21%,110,88,84,78,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,82.61%,169,656,599,622,0.00,0.00,0.00,0.00,222.42,1641.10,63.12,402.76,74.00,546.00,21.00,134.00,16.20%,16.06%,15.96%,15.93%,7.23%,7.22%,7.19%,7.19%,44.44%,57.32%,50.00%,39.47%,107,84,80,72,0,0,0,0,0.00%,0.00%,0.00%,0.00%,100.00,100.00,100.00,100.00,19,33,29,20
B0847NQFB6,Al Osra,1.76,1.76,1.76,1.76,58.22,33.52,45.87,42.34,1.76,1.76,1.76,1.76,(31.49)%,(50.10)%,(61.16)%,(27.87)%,-19.08,-17.76,-29.18,-12.33,36.61%,36.74%,37.42%,36.07%,66,42,49,52,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,43.20%,122,216,224,194,0.00,0.00,0.00,0.00,0.00,148.72,51.73,46.56,0.00,115.00,40.00,36.00,16.19%,16.03%,15.95%,15.06%,26.70%,26.70%,26.70%,26.70%,0.00%,0.00%,0.00%,0.00%,66,42,49,50,0,0,0,0,0.00%,0.00%,0.00%,0.00%,92.90,92.90,92.90,92.90,32,20,28,22
