ASIN,Brand Name,List Price($)(11/23/2025-11/30/2025),List Price($)(11/16/2025-11/23/2025),List Price($)(11/09/2025-11/16/2025),List Price($)(11/02/2025-11/09/2025),Product GMS($)(11/23/2025-11/30/2025),Product GMS($)(11/16/2025-11/23/2025),Product GMS($)(11/09/2025-11/16/2025),Product GMS($)(11/02/2025-11/09/2025),ASP(11/23/2025-11/30/2025),ASP(11/16/2025-11/23/2025),ASP(11/09/2025-11/16/2025),ASP(11/02/2025-11/09/2025),CM(11/23/2025-11/30/2025)(%),CM(11/16/2025-11/23/2025)(%),CM(11/09/2025-11/16/2025)(%),CM(11/02/2025-11/09/2025)(%),CP($)(11/23/2025-11/30/2025),CP($)(11/16/2025-11/23/2025),CP($)(11/09/2025-11/16/2025),CP($)(11/02/2025-11/09/2025),Net PPM(11/23/2025-11/30/2025)(%),Net PPM(11/16/2025-11/23/2025)(%),Net PPM(11/09/2025-11/16/2025)(%),Net PPM(11/02/2025-11/09/2025)(%),GV(11/23/2025-11/30/2025),GV(11/16/2025-11/23/2025),GV(11/09/2025-11/16/2025),GV(11/02/2025-11/09/2025),SoROOS(%)(11/23/2025-11/30/2025)(%),SoROOS(%)(11/16/2025-11/23/2025)(%),SoROOS(%)(11/09/2025-11/16/2025)(%),SoROOS(%)(11/02/2025-11/09/2025)(%),Vendor Confirmation Rate - Sourceable(11/23/2025-11/30/2025)(%),Vendor Confirmation Rate - Sourceable(11/16/2025-11/23/2025)(%),Vendor Confirmation Rate - Sourceable(11/09/2025-11/16/2025)(%),Vendor Confirmation Rate - Sourceable(11/02/2025-11/09/2025)(%),Fill Rate - Sourceable(11/23/2025-11/30/2025)(%),Fill Rate - Sourceable(11/16/2025-11/23/2025)(%),Fill Rate - Sourceable(11/09/2025-11/16/2025)(%),Fill Rate - Sourceable(11/02/2025-11/09/2025)(%),SELLABLE_ON_HAND_UNITS(11/23/2025-11/30/2025),SELLABLE_ON_HAND_UNITS(11/16/2025-11/23/2025),SELLABLE_ON_HAND_UNITS(11/09/2025-11/16/2025),SELLABLE_ON_HAND_UNITS(11/02/2025-11/09/2025),Total GMM($)(11/23/2025-11/30/2025),Total GMM($)(11/16/2025-11/23/2025),Total GMM($)(11/09/2025-11/16/2025),Total GMM($)(11/02/2025-11/09/2025),Net Receipts($)(11/23/2025-11/30/2025),Net Receipts($)(11/16/2025-11/23/2025),Net Receipts($)(11/09/2025-11/16/2025),Net Receipts($)(11/02/2025-11/09/2025),Net Receipts (Units)(11/23/2025-11/30/2025),Net Receipts (Units)(11/16/2025-11/23/2025),Net Receipts (Units)(11/09/2025-11/16/2025),Net Receipts (Units)(11/02/2025-11/09/2025),CCOGS As A % Of PCOGS(11/23/2025-11/30/2025)(%),CCOGS As A % Of PCOGS(11/16/2025-11/23/2025)(%),CCOGS As A % Of PCOGS(11/09/2025-11/16/2025)(%),CCOGS As A % Of PCOGS(11/02/2025-11/09/2025)(%),PPM(11/23/2025-11/30/2025)(%),PPM(11/16/2025-11/23/2025)(%),PPM(11/09/2025-11/16/2025)(%),PPM(11/02/2025-11/09/2025)(%),External Box Price Competitiveness (% Of GV)(11/23/2025-11/30/2025)(%),External Box Price Competitiveness (% Of GV)(11/16/2025-11/23/2025)(%),External Box Price Competitiveness (% Of GV)(11/09/2025-11/16/2025)(%),External Box Price Competitiveness (% Of GV)(11/02/2025-11/09/2025)(%),Amzn GV(11/23/2025-11/30/2025),Amzn GV(11/16/2025-11/23/2025),Amzn GV(11/09/2025-11/16/2025),Amzn GV(11/02/2025-11/09/2025),Customer Returns($)(11/23/2025-11/30/2025),Customer Returns($)(11/16/2025-11/23/2025),Customer Returns($)(11/09/2025-11/16/2025),Customer Returns($)(11/02/2025-11/09/2025),Daily SoRoos%(11/23/2025-11/30/2025)(%),Daily SoRoos%(11/16/2025-11/23/2025)(%),Daily SoRoos%(11/09/2025-11/16/2025)(%),Daily SoRoos%(11/02/2025-11/09/2025)(%),Net Ordered Units(11/23/2025-11/30/2025),Net Ordered Units(11/16/2025-11/23/2025),Net Ordered Units(11/09/2025-11/16/2025),Net Ordered Units(11/02/2025-11/09/2025)
B07DLJB7PC,Barebells,0.00,0.00,0.00,0.00,1112.26,779.02,753.29,1079.52,20.22,21.64,23.54,23.99,14.46%,14.75%,18.03%,19.93%,155.49,110.97,133.90,210.32,29.50%,27.10%,31.89%,31.48%,100,55,70,91,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,20.00%,0.00%,0.00%,369,698,699,886,0.00,0.00,0.00,0.00,0.00,0.00,878.47,0.00,0.00,0.00,36.00,0.00,43.91%,39.46%,37.09%,36.03%,(20.67)%,(12.77)%,(3.66)%,(1.72)%,90.82%,95.92%,100.00%,100.00%,98,55,69,86,0,0,0,0,0.00%,0.00%,0.00%,0.00%,53,39,38,34
B07MHKBDJV,Barebells,0.00,0.00,0.00,0.00,1102.57,719.22,920.61,975.85,25.06,28.77,28.77,28.70,14.92%,24.88%,25.18%,25.84%,150.10,171.04,223.61,247.70,25.12%,35.41%,36.09%,37.26%,83,64,86,94,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,3467,3746,3418,3006,0.00,0.00,0.00,0.00,0.00,1830.15,2220.59,0.00,0.00,75.00,91.00,0.00,29.92%,30.16%,30.03%,29.69%,2.62%,15.18%,15.18%,14.98%,98.73%,98.36%,92.59%,90.24%,79,62,85,93,0,0,0,0,0.00%,0.00%,0.00%,0.00%,38,17,35,38
B07DLCVM1H,Barebells,0.00,0.00,0.00,0.00,862.93,745.79,897.33,1003.10,26.15,26.64,24.93,25.08,13.24%,17.03%,13.59%,16.05%,106.33,116.40,119.56,157.51,29.21%,29.94%,25.41%,28.09%,70,68,70,103,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,78.26%,0.00%,0.00%,2154,2460,2690,2982,0.00,0.00,0.00,0.00,0.00,0.00,146.41,0.00,0.00,0.00,6.00,0.00,27.09%,28.66%,26.70%,29.48%,6.68%,8.38%,2.10%,2.69%,98.11%,97.73%,93.94%,94.52%,69,63,70,92,0,0,0,0,0.00%,0.00%,0.00%,0.00%,32,27,45,38
B0F793ZNSD,Barebells,0.00,0.00,0.00,0.00,431.70,777.09,407.86,0,35.98,37.00,37.08,0.00,16.24%,21.15%,14.41%,0.00%,70.07,165.28,53.79,0,27.81%,30.68%,30.98%,0.00%,112,101,101,171,66.96%,15.84%,73.27%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,11.11%,0.00%,0.00%,31,68,72,16,0.00,0.00,0.00,0,0.00,406.29,812.58,0.00,0.00,12.00,24.00,0.00,24.50%,24.50%,24.50%,0.00%,5.89%,8.50%,8.69%,0.00%,100.00%,100.00%,100.00%,100.00%,110,98,100,171,0,0,0,0,66.96%,15.84%,73.27%,100.00%,12,21,11,0
B08MBD4175,Vitamin Well,0.00,0.00,0.00,0.00,261.50,0,870.68,2881.24,21.79,0.00,24.19,24.84,1.63%,0.00%,17.99%,22.93%,4.31,0,157.57,670.74,16.72%,0.00%,38.75%,37.31%,97,106,254,425,55.67%,77.36%,34.25%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,93.94%,0.00%,52.48%,2902,2979,975,709,0.00,0.00,0.00,0.00,310.08,7584.96,3387.00,0.00,13.00,318.00,142.00,0.00,23.92%,0.00%,37.67%,34.66%,(9.45)%,0.00%,1.36%,3.97%,100.00%,85.96%,96.08%,100.00%,3,42,175,425,0,0,0,0,55.67%,77.36%,34.25%,0.00%,-2,5,36,110
B09MWMV1DG,Barebells,0.00,0.00,0.00,0.00,133.79,493.18,1918.34,2734.81,33.45,27.40,26.28,27.35,15.77%,14.65%,9.98%,12.39%,19.17,66.44,184.01,330.47,27.88%,24.21%,23.19%,23.61%,108,162,247,301,46.30%,43.83%,12.15%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,90.91%,330,825,298,1226,0.00,0.00,0.00,0.00,0.00,4469.17,1388.15,0.00,0.00,132.00,41.00,0.00,38.63%,45.75%,42.99%,41.22%,(1.22)%,(23.57)%,(28.84)%,(23.80)%,100.00%,100.00%,100.00%,99.67%,0,40,204,300,0,0,0,0,46.30%,43.83%,12.15%,0.00%,-2,8,87,111
B0DXBYBZN4,Vitamin Well,0.00,0.00,0.00,0.00,107.34,143.12,35.78,34.66,17.89,17.89,17.89,17.33,21.55%,19.73%,15.56%,(6.33)%,23.04,28.33,5.63,-2.24,35.70%,36.12%,37.37%,16.58%,32,22,21,22,78.13%,72.73%,61.90%,38.10%,100.00%,100.00%,0.00%,100.00%,100.00%,28.57%,0.00%,0.00%,56,72,109,7,0.00,0.00,0.00,0.00,0.00,86.74,375.87,0.00,0.00,6.00,26.00,0.00,22.50%,22.50%,22.50%,0.00%,19.19%,19.19%,19.19%,16.58%,0.00%,0.00%,0.00%,0.00%,30,20,11,21,0,0,0,0,78.13%,72.73%,61.90%,38.10%,6,8,-1,4
B0F331Z81L,Barebells,0.00,0.00,0.00,0.00,93.31,0,31.12,0,31.10,0.00,31.12,0.00,(3.75)%,0.00%,31.36%,0.00%,-2.36,0,9.82,0,41.46%,0.00%,40.79%,0.00%,25,26,43,44,0.00%,0.00%,74.42%,100.00%,100.00%,100.00%,0.00%,100.00%,90.74%,0.00%,0.00%,0.00%,68,56,18,0,0.00,0,0.00,0,0.00,97.61,170.81,0.00,0.00,4.00,7.00,0.00,24.50%,0.00%,24.50%,0.00%,21.54%,0.00%,21.58%,0.00%,0.00%,0.00%,0.00%,0.00%,25,26,16,21,0,0,0,0,0.00%,0.00%,74.42%,100.00%,3,0,1,0
B088N7FT19,Barebells,0.00,0.00,0.00,0.00,91.56,471.96,283.18,396.83,30.52,31.46,31.46,33.07,21.86%,26.20%,26.79%,16.80%,20.25,118.02,75.13,65.80,35.10%,34.68%,37.21%,28.83%,35,65,78,83,25.71%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,19,116,227,337,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.50%,44.19%,43.56%,33.13%,(10.94)%,(7.61)%,(7.61)%,(2.38)%,76.00%,96.36%,100.00%,100.00%,21,61,74,80,0,0,0,0,25.71%,0.00%,0.00%,0.00%,2,8,9,19
B01MQJPAOU,Rip van Wafels,0.00,0.00,0.00,0.00,53.92,61.63,0,0,26.96,30.81,0.00,0.00,11.43%,18.37%,0.00%,0.00%,6.43,11.48,0,0,27.09%,33.65%,0.00%,0.00%,8,9,9,12,0.00%,0.00%,22.22%,41.67%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,41,40,30,24,0.00,0.00,0,0,0.00,79.14,52.76,0.00,0.00,3.00,2.00,0.00,22.50%,22.50%,0.00%,0.00%,2.15%,14.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8,8,4,4,0,0,0,0,0.00%,0.00%,22.22%,41.67%,2,2,-3,0
