ASIN,Brand Name,GV(Week 2 ),Net Ordered Units(Week 2 ),Net Receipts (Units)(Week 2 ),Total Inventory Units(Week 2 ),Net Receipts($)(Week 2 ),Product GMS($)(Week 2 ),Gross Shipped GMS($)(Week 2 ),Net Ordered GMS($)(Week 2 ),Deal GMS($)(Week 2 ),Net PPM(Week 2 )(%),Amzn GV(Week 2 ),SoROOS(%)(Week 2 )(%),Daily SoRoos%(Week 2 )(%),Fill Rate - Sourceable(Week 2 )(%),Vendor Confirmation Rate - Sourceable(Week 2 )(%),Conversion Rate(Week 2 )(%),ASP(Week 2 ),CM(Week 2 )(%),CP($)(Week 2 ),CPPU(Week 2 ),PPM(Week 2 )(%),CCOGS As A % Of PCOGS(Week 2 )(%),CCOGS As A % Of Revenue(Week 2 )(%),External Box Price Competitiveness (% Of GV)(Week 2 )(%),IDQ Score(Week 2 )
B079HN2V2D,Gerber,81,25,0.00,20.00,0.00,236.59,232.35,232.36,0,39.89%,79,0.00%,0.00%,0.00%,92.00%,30.86%,9.46,19.56%,46.35,1.85,21.98%,25.25%,19.70%,64.56%,94.50
B098S3TW7Q,La Molisana,84,83,94.00,348.00,236.72,229.81,215.04,213.82,0,25.63%,83,0.00%,0.00%,28.57%,100.00%,98.81%,2.77,(40.49)%,-84.13,-1.01,9.05%,25.12%,22.85%,0.00%,61.50
B07P75SCX3,UNKNOWN,66,32,103.00,214.00,679.18,228.92,222.50,215.64,0,12.41%,59,0.00%,0.00%,61.17%,100.00%,48.48%,6.94,(13.20)%,-30.07,-0.91,4.95%,10.00%,9.51%,37.25%,87.50
B07NF6HR38,UNKNOWN,85,220,0.00,969.00,0.00,225.37,230.56,205.55,0,(9.07)%,79,0.00%,0.00%,0.00%,100.00%,258.82%,0.94,(80.51)%,-194.01,-0.81,(20.03)%,10.00%,12.00%,87.95%,75.00
B07NF7MFKX,Tetley,30,24,45.00,237.00,432.72,223.61,214.53,224.27,0,7.85%,30,0.00%,0.00%,0.00%,0.00%,80.00%,9.72,(13.83)%,-30.14,-1.31,1.09%,10.94%,10.82%,79.31%,98.50
B01IUM3B0A,La Molisana,25,32,504.00,425.00,1381.76,218.78,209.98,91.68,0,28.20%,25,16.00%,16.00%,79.71%,100.00%,128.00%,2.80,(41.08)%,-85.69,-1.10,2.25%,31.48%,30.77%,0.00%,88.00
B08H321LHY,M.C. Trader,92,21,0.00,3.00,0.00,210.04,208.46,243.49,0,29.77%,86,50.00%,50.00%,5.69%,100.00%,22.83%,11.67,0.64%,1.29,0.07,7.05%,25.25%,23.47%,90.48%,82.50
B084VPP1M5,Suntop,97,51,0.00,5.00,0.00,209.29,205.87,227.30,0,(5.66)%,94,2.06%,2.06%,0.00%,0.00%,52.58%,4.65,(56.78)%,-116.98,-2.60,(12.92)%,10.00%,11.29%,53.19%,90.80
B07NF847QH,TILDA,73,25,449.00,1708.00,3728.37,206.06,200.65,194.31,0,73.18%,66,0.00%,0.00%,70.91%,100.00%,34.25%,7.93,43.70%,86.59,3.33,(4.77)%,77.35%,81.04%,33.90%,91.20
B08CSRN82W,Mr Makhana,71,81,635.00,709.00,1547.28,204.87,199.12,199.12,0,71.09%,64,0.00%,0.00%,99.21%,100.00%,114.08%,2.53,37.11%,76.21,0.94,3.66%,75.06%,72.31%,0.00%,83.20
B079974J1R,WONDERFUL,38,6,24.00,102.00,649.49,204.86,191.78,169.76,0,22.41%,37,0.00%,0.00%,0.00%,0.00%,15.79%,29.27,8.55%,16.59,2.37,7.53%,23.00%,21.27%,0.00%,80.00
B07PKQH3R5,Loyal,218,76,38.00,14.00,138.63,193.97,191.56,198.75,0,(2.94)%,217,0.00%,0.00%,100.00%,100.00%,34.86%,2.66,(70.10)%,-139.97,-1.92,(44.93)%,31.74%,46.01%,45.16%,82.50
B08H323F75,M.C. Trader,52,18,36.00,11.00,258.36,188.40,186.14,133.44,0,13.48%,51,40.38%,40.38%,12.50%,100.00%,34.62%,7.54,(33.07)%,-61.17,-2.45,4.77%,10.40%,9.91%,0.00%,92.50
B00X9MYZXO,Bazooka,52,15,0.00,44.00,0.00,185.09,181.79,195.07,0,12.59%,51,0.00%,0.00%,33.33%,100.00%,28.85%,13.22,(4.88)%,-8.94,-0.64,(11.20)%,23.00%,25.58%,23.53%,95.00
B00NRML2UK,Dilmah,26,20,0.00,37.00,0.00,183.82,183.82,194.15,60.05,25.23%,26,0.00%,0.00%,0.00%,0.00%,76.92%,9.67,4.94%,9.19,0.48,(5.30)%,29.00%,30.54%,65.38%,100.00
B00BLK5AKI,Gerber,121,28,24.00,48.00,153.68,181.12,179.78,179.85,0,15.53%,115,20.66%,20.66%,0.00%,71.35%,23.14%,6.47,(23.19)%,-43.33,-1.55,1.01%,15.39%,15.24%,77.97%,90.50
B08GD1Z9PS,Tata,26,17,87.00,70.00,715.08,169.20,169.20,159.90,0,26.48%,26,46.15%,46.15%,0.00%,100.00%,65.38%,9.40,(5.93)%,-10.22,-0.57,12.56%,15.92%,13.92%,0.00%,87.50
B087GK96DX,Rico,149,50,11.00,115.00,33.54,164.35,159.18,162.53,0,26.25%,145,0.00%,0.00%,0.00%,0.00%,33.56%,3.35,(31.75)%,-51.44,-1.05,9.09%,24.12%,21.93%,0.00%,93.70
B005LLZ3QY,Tetley,48,25,0.00,378.00,0.00,162.67,162.11,162.16,0,18.69%,47,0.00%,0.00%,42.86%,100.00%,52.08%,6.51,(16.24)%,-25.91,-1.04,9.83%,10.49%,9.46%,100.00%,100.00
B08BFBXQGZ,La Molisana,34,47,120.00,499.00,290.77,153.03,147.44,137.43,0,33.06%,32,0.00%,0.00%,49.21%,100.00%,138.24%,2.94,(4.09)%,-6.16,-0.12,17.66%,24.07%,19.82%,52.63%,84.50
B005FBKVZ8,Dilmah,52,23,0.00,43.00,0.00,150.29,148.79,129.49,34.23,28.35%,51,0.00%,0.00%,40.00%,100.00%,44.23%,5.57,(10.21)%,-15.43,-0.57,1.30%,29.00%,28.62%,43.14%,82.50
B084MM15HF,Suntop,71,34,36.00,2.00,189.06,149.46,144.10,135.24,0,(15.41)%,71,43.66%,43.66%,0.00%,100.00%,47.89%,4.27,(65.55)%,-99.77,-2.85,(22.98)%,9.43%,11.60%,73.24%,79.50
